ボスニア・ヘルツェゴビナ,Bosnia & Herzegovina,387,ヨーロッパ
ボツワナ,Botswana,267,アフリカ
ボリビア,Bolivia,591,アメリカ
ポルトガル,Portugal,351,ヨーロッパ
香港,Hong Kong,852,アジア
ホンジュラス,Honduras,504,アメリカ
マーシャル諸島,Marshall Is.,692,オセアニア
マカオ,Macao,853,アジア
マケドニア,Macedonia,389,ヨーロッパ
マダガスカル,Madagascar,261,アフリカ
マディラ諸島,Madeira,351,ヨーロッパ
マラウイ,Malawi,265,アフリカ
マリ,Mali,223,アフリカ
マルタ,Malta,356,ヨーロッパ
マルチニーク島,Martinique,596,アメリカ
マレーシア,Malaysia,60,アジア
ミクロネシア連邦,Micronesia,691,オセアニア
南アフリカ,South Africa,27,アフリカ
ミャンマー,Myanmar,95,アジア
メキシコ,Mexico,52,アメリカ
モーリシャス,Mauritius,230,アフリカ
モーリタニア,Mauritania,222,アフリカ
モザンビーク,Mozambique,258,アフリカ
モナコ,Monaco,377,ヨーロッパ
モルディブ,Maldives,960,アジア
モルドバ,Moldova,373,ヨーロッパ
モロッコ,Morocco,212,アフリカ
モンゴル,Mongolia,976,アジア
モンセラット,Montserrat,1,アメリカ
モンテネグロ,Montenegro,382,ヨーロッパ
ヨルダン,Jordan,962,アジア
ラオス,Laos,856,アジア
ラトビア,Latvia,371,ヨーロッパ
リトアニア,Lithuania,370,ヨーロッパ
リビア,Libya,218,アフリカ
リヒテンシュタイン,Liechtenstein,423,ヨーロッパ
リベリア,Liberia,231,アフリカ
ルーマニア,Romania,40,ヨーロッパ
ルクセンブルグ,Luxembourg,352,ヨーロッパ
ルワンダ,Rwanda,250,アフリカ
レソト,Lesotho,266,アフリカ
レバノン,Lebanon,961,アジア
レユニオン,Reunion,262,アフリカ
ロシア連邦,Russian Fed.,7,ヨーロッパ
